,AGREEMENT_RK,TARGET,AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
81,62024184,0,40,1,0,1,1,0,25000.0,1,
82,66760003,0,61,0,1,0,0,0,8500.0,3,3.0
83,64551242,0,48,1,0,0,0,0,9000.0,2,
84,61316755,0,52,1,0,1,0,0,5000.0,1,
85,63094088,0,41,1,0,0,1,1,40000.0,1,
86,67173594,1,44,1,0,1,2,1,30000.0,2,2.0
87,62799248,0,36,1,0,1,3,3,8000.0,1,
88,62776533,0,42,1,0,0,3,2,12000.0,1,
89,61236972,1,22,1,0,1,0,1,14000.0,1,
90,60106019,0,49,1,0,1,2,0,17000.0,1,
91,62809362,0,39,1,0,1,2,2,5000.0,1,
92,61151593,0,41,1,0,0,1,1,25000.0,1,
93,74190360,0,63,0,1,1,2,0,6000.0,2,2.0
94,62023684,0,33,1,0,1,1,1,15000.0,1,
95,61079700,0,38,1,0,0,1,1,16000.0,1,1.0
96,72285109,0,29,1,0,1,1,1,10000.0,1,1.0
97,73827016,0,49,1,0,1,1,1,8000.0,2,1.0
98,61372316,0,50,1,0,1,2,0,6000.0,1,
99,59939829,0,48,1,0,0,0,0,12000.0,1,1.0
100,64839795,0,42,1,0,1,2,2,11000.0,1,
101,64563165,0,39,1,0,0,1,1,18000.0,1,
102,66524810,0,61,1,0,1,0,0,17000.0,2,2.0
103,60096783,0,42,1,0,1,2,2,14000.0,1,
104,65482083,0,23,1,0,1,0,0,10000.0,2,2.0
105,74467755,0,28,1,0,1,0,0,15000.0,4,4.0
106,64445162,0,56,1,1,1,0,0,30000.0,1,1.0
107,66700908,0,28,1,0,1,1,1,18000.0,1,1.0
108,61110489,0,27,1,0,0,1,1,25000.0,1,
109,74544319,0,46,1,0,1,1,0,11000.0,3,2.0
110,64995451,0,38,1,0,1,1,1,15000.0,1,1.0
111,64827687,0,35,1,0,1,2,2,8700.0,1,
112,67421931,1,37,1,0,1,1,1,20000.0,1,
113,75017098,0,49,1,0,0,2,1,15000.0,2,2.0
114,74460711,1,37,1,0,0,3,3,40000.0,2,2.0
115,60086903,0,36,1,0,1,2,2,20000.0,1,
116,61054691,0,51,1,0,0,2,0,12000.0,1,1.0
117,73830243,1,47,1,0,1,0,0,10000.0,1,
118,75021931,0,46,1,0,1,0,0,20000.0,1,1.0
119,62590815,1,28,1,0,1,1,1,55000.0,1,
120,60465966,0,53,1,0,1,2,0,20000.0,1,1.0
121,66420656,0,26,1,0,0,1,1,9000.0,2,2.0
122,66773911,1,61,1,0,0,4,0,14000.0,2,2.0
123,60466295,0,48,1,0,1,2,0,7000.0,1,
124,61111863,0,30,1,0,1,1,1,16000.0,1,
125,64898724,1,22,1,0,0,1,0,20000.0,1,
126,61235487,0,53,1,0,1,2,0,8000.0,1,1.0
127,61299664,0,56,1,0,1,1,0,11500.0,1,1.0
128,62994403,0,54,1,0,0,2,0,8000.0,1,
129,67322945,0,40,1,0,0,1,1,35000.0,1,
130,67426389,0,56,0,1,0,1,0,9000.0,1,
131,61302471,0,46,1,0,1,0,0,9000.0,1,1.0
132,61151598,0,52,1,0,1,0,0,15000.0,1,
133,62185166,1,32,1,0,0,2,2,12000.0,1,
134,64592177,0,59,0,1,0,1,0,7000.0,1,1.0
135,67533565,0,35,1,0,0,1,1,17000.0,2,2.0
136,61234815,0,26,1,0,0,0,0,8000.0,1,
137,74187392,0,39,1,0,0,1,1,11000.0,3,2.0
138,74984325,0,40,1,0,1,3,2,20000.0,2,1.0
139,59963388,0,57,1,0,0,3,0,7000.0,1,1.0
140,66521201,0,60,1,0,1,1,1,20000.0,2,2.0
141,66849149,0,45,1,0,1,0,0,8600.0,3,2.0
142,64359123,0,40,1,0,0,2,2,45000.0,1,
143,62508107,0,38,1,0,0,1,0,8000.0,1,1.0
144,61428784,0,22,1,0,0,0,0,15000.0,1,
145,67316365,0,49,1,0,0,3,0,12000.0,2,1.0
146,63810875,1,53,0,1,1,1,0,8500.0,3,2.0
147,66913678,0,40,1,0,1,1,0,15000.0,1,
148,66584918,0,57,1,0,0,3,0,17000.0,3,3.0
149,64003837,0,34,1,0,0,0,0,21000.0,1,1.0
150,63911375,1,56,1,1,1,1,0,6000.0,1,
151,64437168,0,32,1,0,1,2,2,15000.0,1,
152,74016494,0,23,1,0,1,0,0,7000.0,1,
153,67435863,0,54,0,1,1,0,0,11000.0,1,
154,63891476,0,33,1,0,1,1,1,6000.0,1,
155,67083166,0,33,1,0,0,1,2,14000.0,4,4.0
156,61537559,0,23,1,0,0,0,0,12000.0,1,1.0
157,63604196,0,34,1,0,0,1,1,20000.0,1,1.0
158,63898906,0,64,0,1,1,2,0,6000.0,1,
159,66741910,0,37,1,0,1,2,2,20000.0,3,2.0
160,61974001,0,44,1,0,1,3,0,12000.0,1,
161,66761419,0,26,1,0,0,1,1,16000.0,2,2.0
162,67217992,0,43,1,0,1,2,2,10000.0,2,2.0
163,61367683,0,49,1,0,1,1,0,15000.0,1,
164,62255169,0,44,1,0,1,1,0,10000.0,2,
165,63273839,0,60,1,0,1,0,0,15000.0,1,
166,75289228,0,34,1,0,1,1,1,10000.0,1,
167,63922027,0,53,1,0,1,0,0,10000.0,1,
168,74551521,0,56,1,0,1,3,0,14000.0,3,3.0
169,64367877,0,49,1,0,1,2,1,7000.0,1,
170,60051963,1,49,1,0,1,0,0,30000.0,1,1.0
171,61872969,0,34,0,1,1,2,1,11000.0,1,
172,66741232,1,41,1,0,1,4,2,9340.0,3,3.0
173,66199923,0,26,1,0,1,0,0,13000.0,1,
174,60389929,0,40,1,0,1,1,0,13000.0,1,
175,63001854,0,42,1,0,1,2,1,7500.0,1,
176,61149628,0,37,1,0,1,1,1,7000.0,1,
177,75202163,0,38,1,0,1,1,1,7800.0,1,
178,62032105,0,45,1,0,1,1,1,7000.0,1,
179,67438464,0,49,1,0,1,2,0,8200.0,2,1.0
180,61938570,0,39,1,0,1,1,1,6700.0,1,1.0
181,61466005,0,36,1,0,1,1,1,80000.0,2,1.0
182,64912588,1,42,1,0,0,2,0,15000.0,1,
183,63599601,0,29,1,0,0,1,1,10000.0,1,
184,64886008,0,45,1,0,1,2,0,20000.0,1,
185,67084430,0,51,1,0,1,2,0,14000.0,1,1.0
186,60059563,0,56,1,0,1,0,0,13000.0,1,1.0
187,74481609,0,33,1,0,0,1,1,16000.0,1,
188,61111134,0,24,1,0,1,0,0,15000.0,1,
189,61298098,1,46,1,0,0,2,2,22000.0,1,
190,61309526,0,39,1,0,0,1,1,30000.0,1,
191,60059582,0,49,1,0,0,2,1,25000.0,1,
192,74041324,0,49,1,0,1,0,0,7000.0,1,
193,63002506,0,49,1,1,0,2,0,20000.0,1,
194,72272351,0,26,1,0,0,1,1,16000.0,1,
195,67419243,0,61,0,1,0,0,0,8000.0,1,
196,60106578,0,42,1,0,0,1,1,22000.0,1,
197,67070426,0,39,1,0,1,1,0,15000.0,3,2.0
198,62141879,0,52,1,0,1,1,0,20000.0,1,
199,66534703,0,38,1,0,1,1,1,11000.0,2,2.0
200,61530018,0,49,1,0,1,1,1,9000.0,1,1.0
201,63921231,0,51,0,1,1,2,2,12800.0,1,
202,61538643,1,60,1,0,1,2,0,7000.0,1,
203,74555752,0,42,1,0,1,1,1,10500.0,2,2.0
204,65201789,0,57,0,1,1,3,0,7000.0,1,
205,61164289,0,41,1,0,1,2,1,20000.0,1,
206,61438860,0,47,1,0,1,2,1,8000.0,3,1.0
207,62605205,1,34,1,0,1,1,1,12000.0,1,1.0
208,64346113,0,32,1,0,1,2,2,5500.0,1,
209,74274221,1,38,1,0,1,2,0,30000.0,1,
210,65501297,0,26,1,0,1,1,1,8000.0,1,1.0
211,66521740,0,39,1,0,0,1,1,18000.0,4,4.0
212,67316223,0,35,1,0,0,1,1,25000.0,1,
213,61127390,0,37,1,0,0,1,0,24000.0,1,1.0
214,66077870,0,22,1,0,1,0,0,10500.0,1,1.0
215,66895275,0,61,0,1,0,2,0,7000.0,2,1.0
216,61540822,0,36,1,0,0,3,3,16000.0,1,1.0
217,67533844,0,27,1,0,1,1,1,9000.0,2,1.0
218,61522740,0,43,1,0,0,1,0,15000.0,1,
219,74181771,0,60,1,0,1,4,2,6000.0,3,3.0
220,60383583,0,38,1,0,1,2,2,9000.0,1,
221,61517342,0,42,1,0,1,2,0,15000.0,1,
222,64363709,1,23,1,0,0,0,0,30000.0,1,
223,66849191,0,31,1,0,0,1,1,15000.0,3,3.0
224,75276828,0,63,0,1,1,0,0,6000.0,3,3.0
225,61153739,1,27,1,0,1,1,1,15000.0,1,
226,67217364,0,39,1,0,1,1,1,18000.0,3,3.0
227,62991727,0,43,1,0,1,2,2,13000.0,1,
228,61420110,0,60,0,1,1,2,0,5200.0,2,2.0
229,61378216,0,33,1,0,1,0,0,20000.0,1,
230,65227755,0,49,1,0,1,1,0,6000.0,1,1.0
231,60048649,0,26,1,0,0,1,1,13000.0,1,
232,66964461,1,38,1,0,0,1,1,12000.0,1,
233,64825946,1,27,1,0,1,1,1,9000.0,1,
234,66772955,0,36,1,0,1,1,1,15000.0,2,2.0
235,67323570,0,42,1,0,1,2,1,12000.0,1,
236,74982312,0,46,1,0,1,0,0,12650.0,2,1.0
237,61962648,0,27,1,0,0,1,1,9000.0,1,1.0
238,59961282,0,43,1,0,1,0,0,40000.0,1,1.0
239,60460976,1,30,1,0,0,1,1,30000.0,1,
240,65480352,0,24,1,0,1,0,0,10000.0,1,1.0
241,64429925,0,41,1,0,0,4,4,11500.0,1,
242,63986316,0,36,1,0,1,0,0,6000.0,1,1.0
243,63584839,1,42,1,0,0,1,1,15000.0,1,
244,67423403,1,56,1,1,1,3,0,30000.0,1,
245,73848706,0,30,1,0,0,2,2,16000.0,1,
246,66591984,0,47,1,0,1,1,0,7100.0,3,3.0
247,62377524,0,53,1,0,1,1,0,6000.0,1,
248,66158890,0,23,1,0,1,1,1,8000.0,1,
249,61151983,0,43,1,0,0,0,0,12000.0,1,
250,67148327,0,37,1,0,1,1,1,29000.0,2,2.0
251,60108759,0,55,1,0,1,2,0,7000.0,1,
252,75277061,0,26,1,0,1,2,2,13000.0,1,
253,61456826,0,58,0,1,1,0,0,6500.0,2,2.0
254,64361215,0,29,1,0,1,1,1,9000.0,1,
255,66664448,1,26,1,0,1,0,0,21000.0,1,
256,61128012,0,34,1,0,1,4,4,5000.0,1,1.0
257,62086372,1,24,1,0,0,0,0,15000.0,1,
258,67530654,0,43,1,0,1,2,0,10000.0,1,
259,66431039,0,37,1,0,1,1,1,7800.0,2,2.0
260,65419884,0,23,1,0,1,0,0,14000.0,1,1.0
261,62236119,0,45,1,0,0,1,1,30000.0,1,
262,67140209,0,49,1,0,1,2,0,12000.0,2,2.0
263,74177264,0,37,1,0,1,1,1,7000.0,1,
264,63600552,0,48,1,0,1,0,0,15000.0,1,
265,62248078,0,42,1,0,0,3,2,30000.0,2,
266,65207556,1,40,1,0,1,0,2,11000.0,1,
267,61244479,0,56,1,1,1,0,0,9330.0,1,
268,64279518,0,36,1,0,1,1,1,16000.0,1,1.0
269,61082604,0,53,1,0,1,2,0,12000.0,1,1.0
270,67319516,0,33,1,0,0,1,1,18000.0,1,
271,67170275,0,54,1,1,1,2,0,21000.0,3,3.0
272,72263345,0,50,1,0,1,2,0,12000.0,1,
273,66080261,0,25,1,0,1,1,1,10000.0,1,1.0
274,65413785,0,26,1,0,1,1,1,7000.0,1,1.0
275,62037803,0,42,1,0,1,2,0,7850.0,1,
276,73826301,0,42,1,0,0,1,1,20000.0,2,1.0
277,61832441,0,54,1,1,1,4,1,6700.0,1,
278,59923612,0,26,1,0,0,0,0,10000.0,2,1.0
279,66323676,0,54,1,0,1,2,0,10000.0,3,3.0
280,61381122,1,26,1,0,0,0,0,15000.0,1,
281,67413927,0,33,1,0,0,1,1,30000.0,7,6.0
282,66405513,0,31,1,0,0,1,1,12000.0,1,1.0
283,65416756,0,25,1,0,1,0,0,8000.0,2,2.0
284,63001956,0,62,1,1,1,3,0,17000.0,1,
285,60464401,0,29,1,0,1,1,1,18000.0,1,1.0
286,63915922,0,46,1,0,1,3,1,13000.0,1,
287,73822653,0,33,1,0,0,1,1,25000.0,2,2.0
288,74947649,0,54,1,0,1,0,0,15000.0,2,2.0
289,62794114,0,54,0,1,0,0,0,15000.0,1,
290,64455108,0,56,1,1,0,0,0,18000.0,1,
291,61104584,0,42,1,0,0,1,1,12000.0,1,1.0
292,59925539,0,39,1,0,1,1,1,35000.0,1,1.0
293,62594920,0,42,1,0,1,2,1,9000.0,1,
294,66536598,1,27,1,0,1,1,1,17000.0,2,2.0
295,62505743,0,39,1,0,1,2,2,35000.0,1,1.0
296,64915501,0,46,1,0,0,2,1,20000.0,1,
297,62386987,0,59,0,1,1,2,0,5000.0,1,
298,74952294,0,24,1,0,0,0,0,20000.0,2,2.0
299,60451886,0,56,1,1,1,1,0,10000.0,1,
300,62025473,0,59,0,1,1,0,0,6500.0,1,
301,67028464,0,47,1,0,1,2,1,8000.0,3,2.0
302,63601542,0,37,1,0,1,1,1,35000.0,1,
303,66195988,0,23,1,0,1,2,2,6500.0,1,
304,63602995,0,58,0,1,1,2,0,6000.0,1,
305,74039205,0,32,1,0,1,0,0,5000.0,2,1.0
306,67228601,0,35,1,0,1,2,2,10000.0,2,1.0
307,66748130,0,45,1,0,0,2,1,15000.0,2,2.0
308,74835083,0,35,1,0,1,1,1,30000.0,1,
309,61121711,0,47,1,0,0,1,1,7000.0,1,1.0
310,66925735,0,43,1,0,0,2,2,10000.0,1,1.0
311,63600601,0,26,1,0,0,2,2,7000.0,1,1.0
312,63813472,0,67,1,0,1,2,0,12000.0,2,1.0
313,64832999,0,44,1,0,0,2,2,8500.0,1,
314,64593619,0,33,1,0,1,2,2,10000.0,1,1.0
315,74033974,0,53,1,0,1,1,0,4300.0,1,
316,62375991,0,40,1,0,0,2,2,13200.0,1,
317,73816704,0,28,1,0,1,1,1,15000.0,1,
318,61934183,0,52,1,0,1,1,1,20000.0,2,1.0
319,60442571,0,40,1,0,1,1,1,15000.0,1,
320,74035080,0,44,1,0,1,1,1,5000.0,2,1.0
321,64276037,0,33,1,0,0,2,2,20000.0,1,
322,59925110,0,44,1,0,0,1,0,15000.0,1,1.0
323,67165268,0,24,1,0,1,1,1,10000.0,1,1.0
324,61451918,0,46,1,0,0,2,1,18000.0,1,1.0
325,61099710,0,61,1,0,0,2,0,25000.0,1,1.0
326,64353970,0,53,1,1,1,1,0,25000.0,1,
327,66781896,0,55,1,0,1,0,0,13000.0,3,3.0
328,66967312,0,35,1,0,0,2,2,8000.0,1,
329,74281522,0,34,1,0,1,2,2,25000.0,1,
330,61832255,0,22,1,0,0,0,0,16000.0,1,1.0
331,72279205,1,33,1,0,0,1,1,10000.0,1,
332,61290106,0,54,1,0,1,0,0,8000.0,1,
333,61366540,0,49,1,0,0,2,2,16000.0,2,1.0
334,63907163,1,23,1,0,0,0,0,15000.0,1,
335,62624047,0,35,1,0,1,2,2,11000.0,1,
336,60059705,0,45,1,0,1,0,0,10000.0,2,1.0
337,61539417,0,28,1,0,0,0,0,15000.0,1,
338,72260930,0,22,1,0,1,0,0,12000.0,1,
339,63907021,0,61,0,1,1,0,0,5000.0,1,
340,61139557,0,48,1,0,1,2,1,30000.0,1,1.0
341,60397606,0,39,1,0,1,1,1,10000.0,1,
342,60379339,0,32,1,0,0,0,0,9500.0,1,
343,61916582,0,36,1,0,1,2,2,7000.0,1,1.0
344,64554862,0,38,1,0,1,2,1,8500.0,1,
345,66920725,0,28,1,0,1,2,2,12000.0,1,
346,61109861,0,27,1,0,1,0,0,15000.0,1,1.0
347,74817798,0,31,1,0,1,0,0,17000.0,3,3.0
348,62251874,0,64,0,1,0,0,0,8000.0,1,
349,61357184,1,28,1,0,1,0,0,20000.0,1,1.0
350,61382118,0,60,0,1,1,6,0,5200.0,2,1.0
351,67139640,0,43,1,0,1,1,0,13000.0,1,1.0
352,62769451,0,27,1,0,1,0,0,18000.0,1,
353,74279545,0,35,1,0,0,1,0,34000.0,1,1.0
354,67163936,0,22,1,0,1,1,1,10000.0,3,1.0
355,75006199,0,63,1,1,1,1,0,7000.0,2,1.0
356,61243750,0,44,1,0,0,1,1,12000.0,1,
357,65241813,0,52,1,0,1,0,0,5000.0,1,1.0
358,67430113,0,51,1,0,1,2,0,16000.0,2,1.0
359,66332501,0,34,1,0,1,0,0,8000.0,2,2.0
360,72289574,0,25,1,0,1,1,1,23000.0,1,
361,61047844,0,28,1,0,0,0,0,10000.0,1,1.0
362,74957512,0,59,1,0,1,0,0,10000.0,4,4.0
363,63600604,0,36,1,0,0,1,1,25000.0,1,1.0
364,66897742,0,42,1,0,0,1,0,7000.0,1,
365,67205921,0,54,1,0,1,2,0,10000.0,5,4.0
366,61156071,1,37,1,0,0,1,1,15000.0,1,
367,64431399,0,34,1,0,1,1,1,5000.0,1,
368,66758603,0,41,1,0,0,1,1,20000.0,3,3.0
369,61049943,1,28,1,0,1,0,0,15000.0,1,1.0
370,60191052,0,37,1,0,1,1,1,6000.0,1,
371,61373589,1,30,1,0,0,0,0,7500.0,2,
372,61125296,0,38,1,0,0,1,1,15000.0,1,1.0
373,61963763,1,34,1,0,0,1,1,8000.0,1,
374,66830429,0,27,1,0,1,1,1,7000.0,2,2.0
375,74832290,0,48,1,0,1,0,0,15000.0,1,
376,74022444,0,22,1,0,1,0,0,6000.0,1,1.0
377,62082932,0,30,1,0,1,1,0,4000.0,1,
378,67068628,0,30,1,0,0,1,1,40000.0,1,1.0
379,60096935,0,35,1,0,0,2,2,29000.0,1,
380,64904574,0,55,1,0,1,1,0,13000.0,1,
381,61838823,0,41,1,0,1,2,2,6000.0,1,
382,64365785,0,54,1,1,1,0,0,9000.0,1,
383,61850415,0,30,1,0,1,1,1,15000.0,1,
384,66526955,0,36,1,0,0,3,3,10000.0,2,2.0
385,62501063,0,48,1,0,0,0,0,13000.0,1,1.0
386,60456876,1,40,1,0,1,2,0,25000.0,1,
387,64909201,0,33,1,0,1,1,1,14000.0,1,
388,64842766,0,32,1,0,0,1,1,20000.0,1,
389,61302184,0,59,0,1,1,0,0,5582.0,1,
390,66533416,1,50,1,0,1,0,0,10000.0,2,2.0
391,62990756,0,44,1,0,1,0,0,11000.0,1,
392,61030680,0,47,1,0,1,1,1,19000.0,2,1.0
393,66745598,0,60,1,0,1,2,0,10500.0,3,2.0
394,61132394,1,38,1,0,0,1,1,20000.0,1,1.0
395,67329643,0,40,1,0,0,0,0,16000.0,1,
396,65217809,0,29,1,0,0,1,1,25000.0,1,
397,63891395,0,28,1,0,0,1,0,18000.0,1,
398,62445027,0,56,1,0,0,0,0,19000.0,1,
399,62143669,0,33,1,0,1,2,2,20000.0,1,
400,64594349,1,22,1,0,0,0,0,15000.0,2,1.0
401,64456185,0,42,1,0,1,2,2,14000.0,1,
402,73850417,0,51,1,0,1,4,0,16000.0,2,1.0
403,62590364,0,48,1,0,0,1,0,10000.0,1,
404,61833272,0,49,1,1,1,2,0,10000.0,1,
405,62136452,0,61,1,0,0,2,0,13000.0,1,
406,62487752,0,48,0,1,1,0,0,6000.0,1,1.0
407,67212866,0,47,1,0,0,2,0,18000.0,2,2.0
408,66968607,1,27,1,0,1,1,1,12000.0,1,
409,61866577,1,51,1,0,1,3,1,10000.0,1,
410,62094383,0,43,1,0,1,1,1,40000.0,1,
411,61841922,0,40,0,1,1,1,1,5400.0,1,
412,74190441,0,56,1,0,1,3,0,10000.0,4,3.0
413,62142972,0,46,1,0,1,0,0,18000.0,1,
414,60095959,0,39,1,0,0,3,3,25000.0,1,
415,62138885,0,44,1,0,1,1,1,10000.0,1,
416,61941452,0,33,1,0,0,1,1,16000.0,1,1.0
417,65256008,1,44,0,1,0,0,0,35000.0,1,1.0
418,59966861,0,27,1,0,1,1,1,6000.0,1,
419,61955750,0,63,0,1,1,0,0,11000.0,1,
420,67169157,0,37,1,0,0,1,1,15000.0,2,2.0
421,67543528,0,43,1,0,1,0,0,30000.0,1,
422,75067935,0,57,1,0,0,1,0,35000.0,1,
423,62141250,0,44,1,0,1,2,2,10000.0,1,
424,63598373,0,45,1,0,0,1,0,10000.0,1,
425,62086196,0,45,1,0,1,0,0,5800.0,1,
426,61039219,0,60,1,1,1,1,0,12000.0,1,1.0
427,61361094,0,56,1,1,1,2,0,12000.0,1,1.0
428,63631379,0,47,1,0,1,0,0,10000.0,1,1.0
429,74561839,1,27,1,0,0,0,0,15000.0,3,2.0
430,61832884,0,49,1,0,0,2,1,22000.0,1,
431,62600462,0,34,1,0,1,1,1,5000.0,1,
432,75281731,0,57,0,1,1,2,0,12000.0,1,1.0
433,61059343,0,66,1,1,0,1,0,25000.0,1,1.0
434,60443823,0,44,1,0,0,1,0,11000.0,1,
435,65225338,0,28,1,0,1,0,0,15000.0,1,
436,74663587,0,55,1,1,0,2,0,14000.0,3,2.0
437,60393522,0,41,1,0,0,2,2,6000.0,1,
438,62592042,0,58,0,1,1,1,0,6000.0,1,
439,64907608,0,60,1,1,1,3,0,12000.0,1,
440,67071916,0,50,1,0,0,0,0,7300.0,2,2.0
441,65415799,0,25,1,0,1,0,0,14000.0,2,2.0
442,61976722,1,40,1,0,1,2,1,14000.0,1,1.0
443,62029852,0,28,1,0,0,0,0,11000.0,1,
444,66083832,0,26,1,0,1,0,0,9000.0,1,1.0
445,74663590,0,36,1,0,0,1,1,10000.0,2,2.0
446,64429995,0,39,1,0,0,6,6,15000.0,1,
447,62442666,0,60,1,0,1,0,0,8000.0,1,
448,59974935,0,46,1,0,0,1,0,15000.0,1,
449,61138829,0,36,1,0,1,2,1,25000.0,1,1.0
450,74190998,0,61,0,1,1,2,0,5000.0,2,2.0
451,62022556,1,25,1,0,1,1,1,10000.0,1,
452,74645885,0,63,0,1,1,0,0,10000.0,1,1.0
453,65240644,0,56,1,1,1,2,0,13000.0,2,2.0
454,73818402,0,51,1,0,1,0,0,17000.0,1,
455,64433703,0,38,1,0,1,3,0,5000.0,1,
456,61309398,0,56,1,0,0,2,0,7000.0,1,1.0
457,61243297,0,35,1,0,1,2,2,4300.0,1,
458,60097017,0,40,1,0,1,2,0,7600.0,1,
459,61315483,0,54,0,1,1,1,1,8000.0,1,
460,66851213,0,41,1,0,0,1,1,12000.0,3,2.0
461,61523599,0,32,1,0,1,1,1,6500.0,1,1.0
462,62146488,0,51,1,0,1,0,0,15000.0,1,
463,64435040,0,34,1,0,0,2,0,20000.0,1,
464,62603435,0,31,1,0,0,0,0,15000.0,1,
465,75273363,0,35,1,0,0,0,0,8000.0,1,
466,63087762,0,34,1,0,1,1,0,11000.0,1,
467,75275876,0,31,1,0,1,0,0,9700.0,1,
468,63628270,1,50,1,0,1,0,0,12000.0,1,1.0
